date,water_usage,temperature,rainfall_mm,humidity_pct,population,is_festival,season
2012-05-21,165426914,35.1,4.9,55.0,1200000,0,Summer
2012-05-22,165253278,34.0,0.6,49.8,1200000,0,Summer
2012-05-23,161638528,32.9,2.1,45.2,1200000,0,Summer
2012-05-24,165292412,34.5,2.4,53.2,1200000,0,Summer
2012-05-25,171564211,36.9,1.7,49.8,1200000,0,Summer
2012-05-26,166940927,34.8,1.2,48.2,1200000,0,Summer
2012-05-27,172766677,37.2,0.8,50.6,1200000,0,Summer
2012-05-28,170520674,36.5,1.8,54.4,1200000,0,Summer
2012-05-29,164522453,33.7,0.6,43.5,1200000,0,Summer
2012-05-30,159568657,32.2,2.9,45.8,1200000,0,Summer
2012-05-31,165771853,34.5,1.5,52.1,1200000,0,Summer
2012-06-01,143402853,27.9,12.8,75.0,1200000,0,Monsoon
2012-06-02,139039854,25.5,10.1,78.5,1200000,0,Monsoon
2012-06-03,146245533,26.8,3.6,77.8,1200000,0,Monsoon
2012-06-04,147175857,29.0,10.8,78.2,1200000,0,Monsoon
2012-06-05,142300648,27.0,10.9,70.9,1200000,0,Monsoon
2012-06-06,148132876,28.6,7.6,81.4,1200000,0,Monsoon
2012-06-07,144914447,29.5,16.7,82.7,1200000,0,Monsoon
2012-06-08,138817890,23.1,1.1,72.4,1200000,0,Monsoon
2012-06-09,146524244,26.4,1.4,71.4,1200000,0,Monsoon
2012-06-10,149692350,29.7,9.3,70.0,1200000,0,Monsoon
2012-06-11,150514259,32.5,19.1,78.5,1200000,0,Monsoon
2012-06-12,143352358,25.7,3.8,75.8,1200000,0,Monsoon
2012-06-13,143289314,28.2,14.1,73.1,1200000,0,Monsoon
2012-06-14,155615136,30.8,3.7,70.0,1200000,0,Monsoon
2012-06-15,146163956,27.8,7.5,71.3,1200000,0,Monsoon
2012-06-16,147269639,27.5,4.7,76.4,1200000,0,Monsoon
2012-06-17,155728598,30.4,2.2,74.9,1200000,0,Monsoon
2012-06-18,143966214,26.8,7.2,66.5,1200000,0,Monsoon
2012-06-19,149677876,28.1,3.1,62.0,1200000,0,Monsoon
2012-06-20,143408412,30.5,23.1,78.3,1200000,0,Monsoon
2012-06-21,142109519,25.6,5.5,76.0,1200000,0,Monsoon
2012-06-22,143456422,26.5,7.0,76.3,1200000,0,Monsoon
2012-06-23,145714700,28.0,9.0,80.8,1200000,0,Monsoon
2012-06-24,142458149,25.3,4.0,77.4,1200000,0,Monsoon
2012-06-25,146534912,28.3,8.8,84.6,1200000,0,Monsoon
2012-06-26,149608798,29.0,6.8,76.8,1200000,0,Monsoon
2012-06-27,141615942,29.4,21.4,79.9,1200000,0,Monsoon
